url,title,property_type_raw,price_php,price_text,price_is_per_sqm,bedrooms,bathrooms,area_sqm,location_text,category,source,scraped_at
https://onepropertee.com/ready-occupancy-3-bedroom-single-detached-house-sale-liloan-cebu-property-1838,Ready For Occupancy 3-bedroom Single Detached House For Sale in Liloan Cebu,For Sale New Single Detached House,11600000.0,₱ 11.6 million,False,3.0,3.0,80.0,Liloan Cebu,house,onepropertee,2026-06-14T16:40:14
https://onepropertee.com/ready-occupancy-3-bedroom-single-detached-house-sale-liloan-cebu-property-3314,Ready For Occupancy 3-bedroom Single Detached House For Sale in Liloan Cebu,For Sale New Single Detached House,8690000.0,₱ 8.69 million,False,3.0,1.0,100.0,Liloan Cebu,house,onepropertee,2026-06-14T16:40:14
https://onepropertee.com/3br-single-detached-house-sale-el-monteverde-de-cebu-property,3BR Single Detached House for Sale in El Monteverde de Cebu,For Sale Pre-Owned House and Lot,10000000.0,₱ 10.0 million,False,3.0,2.0,320.0,Consolacion Cebu,house,onepropertee,2026-06-14T16:40:14
https://onepropertee.com/residential-lot-improvement-nivel-hills-cebu-property,"Residential Lot with Improvement in Nivel Hills, Cebu City",For Sale Foreclosed House and Lot,116000000.0,₱ 116 million,False,,1.0,1025.0,Cebu City,house,onepropertee,2026-06-14T16:40:14
https://onepropertee.com/spacious-230-sqm-townhouse-sale-prestigious-hillcrest-banawa-cebu-pay-cash-5-property,"Spacious 230 sqm Townhouse For Sale in prestigious Hillcrest Banawa, Cebu City: Pay CASH get 5% off",For Sale New Townhouse,15900000.0,₱ 15.9 million,False,4.0,3.0,230.0,Cebu City,house,onepropertee,2026-06-14T16:40:14
https://onepropertee.com/bank-foreclosed-affordable-townhouse-sale-talisay-cebu-bank-home-loan-financing-available-property,Bank Foreclosed Affordable Townhouse For Sale in Talisay Cebu: Bank Home Loan financing available,For Sale Foreclosed Townhouse,4000000.0,₱ 4.00 million,False,1.0,1.0,62.0,Talisay Cebu,house,onepropertee,2026-06-14T16:40:14
https://onepropertee.com/bank-foreclosed-house-lot-sale-san-fernando-cebu-affordable-bank-home-loan-financing-property,Bank Foreclosed House and Lot For Sale in San Fernando Cebu: Affordable Bank Home Loan Financing,For Sale Foreclosed Townhouse,2250000.0,₱ 2.25 million,False,1.0,1.0,44.0,San Fernando Cebu,house,onepropertee,2026-06-14T16:40:14
https://onepropertee.com/rfo-4-bedroom-single-attached-house-sale-cebu-cebu-property-4381,RFO 4-bedroom Single Attached House For Sale in Cebu City Cebu,For Sale New Single Attached House,12900000.0,₱ 12.9 million,False,4.0,4.0,199.0,Cebu City,house,onepropertee,2026-06-14T16:40:14
https://onepropertee.com/ready-occupancy-4-bedroom-townhouse-rent-own-cebu-property,Ready For Occupancy 4-bedroom Townhouse Rent-to-own in Cebu City,For Sale New Townhouse,7480000.0,₱ 7.48 million,False,4.0,3.0,100.0,Cebu City,house,onepropertee,2026-06-14T16:40:14
https://onepropertee.com/3bedroom-house-lot-sale-pulang-bato-cebu-property,"3bedroom house and lot for sale at Pulang Bato, Cebu City",For Sale Single Detached House,4000000.0,₱ 4.00 million,False,3.0,1.0,70.0,Cebu City,house,onepropertee,2026-06-14T16:40:14
https://onepropertee.com/read-occupancy-3-bedroom-townhouse-sale-cebu-property,Read for occupancy  3-bedroom Townhouse For Sale in Cebu City,For Sale New Townhouse,10000000.0,₱ 10.0 million,False,3.0,3.0,117.0,Cebu City,house,onepropertee,2026-06-14T16:40:14
https://onepropertee.com/south-hills-brighton-court-brgy-tisa-cebu-cebu-property,"SOUTH HILLS, BRIGHTON COURT, BRGY. TISA, CEBU CITY, CEBU",For Sale Foreclosed Single Attached House,9980000.0,₱ 9.98 million,False,4.0,4.0,456.0,Cebu City,house,onepropertee,2026-06-14T16:40:14
https://onepropertee.com/ready-occupancy-3-bedroom-single-house-sale-cebu-cebu-property,"Ready for Occupancy 3-bedroom Single House For Sale in Cebu City, Cebu",For Sale New Single Attached House,9150000.0,₱ 9.15 million,False,3.0,2.0,65.0,Cebu City,house,onepropertee,2026-06-14T16:40:14
https://onepropertee.com/pre-owned-3-bedroom-single-detached-house-sale-cebu-property-8074,Pre-Owned 3-bedroom Single Detached House For Sale in Cebu City,For Sale Pre-Owned Single Detached House,15000000.0,₱ 15.0 million,False,3.0,2.0,210.0,Cebu City,house,onepropertee,2026-06-14T16:40:14
https://onepropertee.com/sale-elegant-3br-house-maryville-talamban-14m-property,"FOR SALE: Elegant 3BR House in Maryville, Talamban  14M",For Sale Pre-Owned Single Detached House,14000000.0,₱ 14.0 million,False,3.0,3.0,200.0,Cebu City,house,onepropertee,2026-06-14T16:40:14
https://onepropertee.com/ready-occupancy-4-bedroom-townhouse-sale-cebu-property,Ready for Occupancy 4-bedroom Townhouse For Sale in Cebu City,For Sale New Townhouse,7480000.0,₱ 7.48 million,False,4.0,3.0,110.0,Cebu City,house,onepropertee,2026-06-14T16:40:14
https://onepropertee.com/elisa-valley-3br-townhouse-114sqm-2-car-maids-frnshd-beverly-hills-lahug-property,Elisa Valley 3BR Townhouse 114sqm 2-car Maids Frnshd Beverly Hills Lahug,For Sale Pre-Owned Townhouse,9800000.0,₱ 9.80 million,False,3.0,2.0,114.0,Cebu City,house,onepropertee,2026-06-14T16:40:14
https://onepropertee.com/ready-occupancy-4-bedroom-single-attached-house-sale-cebu-property-6130,Ready For Occupancy 4-bedroom Single Attached House For Sale in Cebu City,For Sale New Single Attached House,7550000.0,₱ 7.55 million,False,4.0,3.0,106.0,Cebu City,house,onepropertee,2026-06-14T16:40:14
https://onepropertee.com/ready-occupancy-discounted-3-bedroom-single-detached-house-sale-cebu-property-8474,Ready For Occupancy Discounted 3-bedroom Single Detached House For Sale in Cebu City,For Sale New Single Detached House,11100000.0,₱ 11.1 million,False,3.0,2.0,92.0,Cebu City,house,onepropertee,2026-06-14T16:40:14
