url,title,description,bedrooms,bathrooms,floor_area_sqm,street_address,city,region,latitude,longitude,amenities,price
https://www.lamudi.com.ph/property/41032-73-9b4872697160-e872-19763d2-855c-7954,Condo For Sale in Punta Engaño,"• Multi-award-winning project (best condo in PH, a.o.)

• Sold-out top floor unit with sunset view

• Below fair market value




PROJECT & UNIT

The one-bedroom unit is 71.5 sqm and is located on the 17th floor of The Residences at Sheraton Cebu Mactan Resort with sunset views of Magellan Bay and – in the distance – the city lights of Cebu City with on its backdrop the mountains. For all other information related to the project and unit we refer to the table in the image gallery.




MARKET VALUE

The unit got appraised on March 7, 2024 at Php 24,048,524 by Oscar Teodoro Labrador (REA Lic. No. 0000077). This value is excluding furniture.




ASK PRICE

We are selling our unit for Php 21.9M only. This is below fair market value and also includes some furniture (semi-furnished).




INCLUSIONS:

✅ Parking lot (indoor)

✅ Kitchen

✅ Oven

✅ Induction cooktop

✅ Range hood

✅ Refrigerator

✅ Washer

✅ Dryer

✅ Air conditioning (2x)

✅ Built-in cabinets

✅ Sliding door (3x)

✅ Bathtub",1.0,1.0,71.0,"Punta Engano, Lapu-Lapu City, Cebu, Central Visayas, PHL",Lapu-Lapu,Cebu,10.32137474,124.0370339,"Air conditioning, Balcony, Built-in wardrobe, Garage, Cctv, Club House, Concierge, Ensuite, Fire exits, Fire sprinkler system, Gym, Internet, Library, Lift, Lounge, Multipurpose room, Office room, Sauna, Smoke detector, Spa, Swimming pool, 24 hours security, Wifi, Yard, Partly furnished",21900000
https://www.lamudi.com.ph/property/41032-73-afa4da3b89c5-9672-665a6ba4-9677-472b,Condo For Sale in Cebu IT Park,"8X Asia Premier Residences | Cebu IT Park

Unit-Specific Highlights:
•   3 Beds, 3 Baths, 105 Sq.M.
•   The owner is open to various payment methods
•   Listing price is NET (Buyer pays taxes and fees).

Development-Specific Highlights: 
•   Gym
•   Swimming pool & Sauna
•   Sky lounge

Situated in Cebu IT Park, this property offers easy access to malls, business parks, and a walkable neighborhood. Additionally, the condo offers a parking spot and allows pets, providing added convenience and flexibility. Don't miss out on this incredible opportunity to own a slice of city living at its finest.",3.0,3.0,105.0,"Calyx Center, Cebu I.T. Park, W Geonzon St, Lungsod ng Cebu, 6000 Lalawigan ng Cebu, Philippines",Cebu,Cebu,10.328947,123.905843,"24 hours security, Access for people with disabilities, Air conditioning, Alarm, Balcony, Integral kitchen, Built-in wardrobe, Garage, Cctv, Cellar, Playground, Water tank, Concierge, Electricity, Lift, Equipped kitchen, Fire alarm, Fire exits, Garden, Gym, Heating, Jacuzzi, Internet, Laundry room, Office room, Panoramic view, Yard, Roof garden, Sauna, Security, Smoke detector, Guardhouse, Swimming pool, Service room, Video cable, Water, Fully furnished",18300000
https://www.lamudi.com.ph/property/41032-73-9a4b260e6353-195-197cb07-a36d-735a,Condo For Sale in Mactan,"Unit 11XX The Reef Residences 

Unit-Specific Highlights: 
•  Studio, 1 Bath, 45 SQ.M.
•  11th floor 
•  The owner is open to various payment methods.
•  Listing price is negotiable and NET (Buyer pays taxes and fees).

Development-Specific Highlights: 
•  Beach access
•  Ocean views
•  Swimming pools (Adult and Kiddie Pool) and other amenities
•  Gym, Spa
•  Bakery and restaurant


Contact Haller International Realty, your Cebu real estate specialists, for more information on this listing and to schedule a free consultation. Don't forget to view the 360 virtual tour to walk through the property.",,1.0,45.0,"The Reef Island Resort, Dapdap, Lungsod ng Lapu-Lapu, Lalawigan ng Cebu, Pilipinas",Lapu-Lapu,Cebu,10.2987618,124.0157325,"24 hours security, Access for people with disabilities, Air conditioning, Alarm, Balcony, Integral kitchen, Built-in wardrobe, Cctv, Playground, Water tank, Concierge, Electricity, Lift, Ensuite, Equipped kitchen, Fire alarm, Fire exits, Green area, Gym, Heating, Jacuzzi, Internet, Multipurpose room, Panoramic view, Security, Smoke detector, Guardhouse, Swimming pool, Video cable, Water, Wifi, Fully furnished",9500000
https://www.lamudi.com.ph/property/41032-73-4f157af68eb8-523c-19ad5a5-b858-7242,Beach House For Sale in Nasugbu,"HOUSE FOR SALE
Loc:Amara Subdivision by Ayala Land, Catarman, Liloan, Cebu

Seafront development with complete amenities in a peaceful, secure community

PROPERTY DETAILS
Lot Area: 375 sqm
Floor Area: 450 sqm
2-Storey Spacious Home
Layout:
3 Bedrooms (2nd Floor)
  - Includes 2 Toilet & Bath
Master's Bedroom (Ground Floor)
  - Ensuite Toilet & Bath
Powder Room
Spacious Living and Dining Area
Main Kitchen + Dirty Kitchen
Maid’s Quarters with Toilet & Bath
Overlooking Terrace with Sea Views
Up to 3-Car Garage
Special Features:
Centralized Air Conditioning
Water Softener System
Water Heater

Selling Price: PHP 50,000,000 (All-In)",4.0,3.0,450.0,"Natipuan, Nasugbu, Batangas, Calabarzon, PHL",Nasugbu,Batangas,14.10901598,120.6249472,"24 hours security, Air conditioning, Garage, Badminton court, Built-in wardrobe, Balcony, Playground, Club House, Cctv, Concierge, Deck, Access for people with disabilities, Drying area, Electricity, Ensuite, Entertainment room, Equipped kitchen, Fire exits, Fire alarm, Function area, Garden, Gazebo, Green area, Gym, Guardhouse, Internet, Jogging path, Lounge, Multi-purpose lawn, Open space, Panoramic view, Powder room, Security, Service room, Smoke detector, Sports facilities, Storage room, Terrace, Swimming pool, Water, Wifi, Yard, Tennis court, Integral kitchen, Grill, Fully fenced, Fully furnished",50000000
https://www.lamudi.com.ph/property/41032-73-e7612bfda420-d630-8695a2b9-8d3a-1fee,House For Sale in Bolinawan,"❗️❗️❗️FOR SALE ❗️❗️❗️
2 storey Modern HOUSE AND LOT
Bolinawan, Carcar City

House details:
Lot Area     : 288 sq mtr.
Floor Area :  197 sq mtr.

2nd Floor:
Master Bedroom with walk in Closet
And spacious Toilet and Bath
Entertainment Area

Ground Floor:
2 Bedroom with Toilet and Bath
1 powder Room
Living Area
Dining Area
Pantry Area
Service/ Laundry Area
Lanai
High Ceiling/ open to below
Super high-end finishes

Price: Sacrifice SALE From 15M down 👇 to 11M NET
Clean Titled

Message me for more details!",3.0,3.0,,"Bolinawan, Carcar, Cebu, Central Visayas, PHL",Carcar,Cebu,10.09224,123.625788,"Built-in wardrobe, Balcony, Air conditioning, Garage, Electricity, Equipped kitchen, Integral kitchen, Panoramic view, Service room, Terrace, Water, Yard, Access for people with disabilities, Garden, Grill, Security, 24 hours security, Cctv, Fully fenced, Fire exits, Green area, Jogging path, Drying area, Powder room, Shower rooms, Smoke detector, Water tank, Playground, Entertainment room, Open space, Storage room, Fully furnished",11000000
https://www.lamudi.com.ph/property/41032-73-76a000528416-a525-19763ca-9814-79e9,Condo For Sale in Agus,"PRIMEWORLD DISTRICT - TOWER P
 1BR W/ BALCONY
 Property Type: Condominium
 Turnover Condition: Semi-furnished
 

 Primeworld District
 Resort-style community in Brgy. Agus, Lapu-Lapu City, Mactan, Cebu
 

 Primeworld believes that every Filipino deserves a good life, starting with a good home. We have made it our mission to develop quality homes in safe communities where Filipinos can thrive and live a good life.
 Established in 2010 as a pocket housing developer, Primeworld has evolved into a full-grown housing development firm with market presence across key cities in the Philippines.
 Our very own humble beginnings and recognition of the aspirations of the simple Filipino to own a place to live in drive us to aggressively develop housing projects to augment the backlog in the country. We now have projects in the pipeline in at least six other provinces locally, and we have been working hard to design and build homes with superior craftsmanship for the satisfaction and peace if mind of our homeowners.
 

 Address: Ibabao-Gisi-Agus Rd., Brgy. Agus, Lapu-Lapu City, Cebu
 HLURB LTS Nos. 034461 (Tower P) | LS-R07-22-005 (Tower H)
 Year Built: 2019 (Tower P) | 2021 (Tower H)
 Project Completion Date: April 2023 (Tower P) | April 2024 (Tower H)
 Total No. of Buildings: 6",1.0,1.0,25.0,"Agus Road, Marigondon, Lapu-Lapu City, Cebu, Central Visayas, PHL",Lapu-Lapu,Cebu,10.28410958,123.97552209,"Balcony, Cctv, Concierge, Deck, Fire exits, Fire sprinkler system, Gym, Lift, Lounge, Swimming pool, 24 hours security, Partly furnished",4468775
https://www.lamudi.com.ph/property/41032-73-504e99253a31-c1e-19be3bc-98f1-7073,Beach Lot For Sale in Santiago,"🏖 White Sand Beachfront Property For Sale — Camotes Island, Cebu, Philippines

Prime Residential / Resort / Investment Beach Lot
Lot Area: 5,650 sqm (≈ 60,823 sq.ft.)
White Sand Frontage: Wide beachfront exposure
Asking Price: ₱10,000 per sqm
Total Price: ₱56,500,000 (≈ USD ~$950,000*)
*USD value approximate, FX-dependent

✨ Property Overview

Own a rare white sand beachfront property in Camotes Island, Cebu — one of the fastest-growing tourism and lifestyle destinations in the Visayas. With 5,650 sqm of titled land and direct beachfront access, this coastal parcel offers the perfect canvas for:

✔ Luxury private beach home
✔ Boutique resort or villa rentals (Airbnb income)
✔ Wellness retreat or boutique hotel
✔ Family estate / retirement property
✔ Long-term land banking investment

The property features powder-white sand, clear turquoise waters, and natural topography ideal for future development.

🌴 Key Property Highlights

✔ White sand beachfront with wide frontage
✔ Flat & buildable terrain
✔ Direct access from road (ideal for logistics)
✔ Safe, peaceful & nature-filled environment
✔ Strong tourism & hotel demand in the area
✔ Flexible zoning suitable for residential or commercial use
✔ Utilities available nearby (electricity + water)

📍 Location & Accessibility

Located in San Francisco, Camotes Island, Cebu, with convenient access to:

✨ Santiago White Beach
✨ Tulang Diot Island
✨ Mangodlong Beach
✨ Bukilat Cave
✨ Lake Danao Eco-Park

Nearby town offers:

✔ Market & groceries
✔ Hospital & pharmacy
✔ Schools & college
✔ Restaurants & cafés

Accessibility routes include:

⛴ Danao → Consuelo (fastest ferry route)
⛴ Cebu City Pier → Poro Port
✈ Flights via Cebu then ferry to Camotes

Infrastructure improvements continue to enhance tourism and economic activity.

📈 Investment & Development Potential

✔ High appreciation potential for beachfront parcels
✔ Growing tourist arrival & accommodation shortage
✔ Attractive for Airbnb & resort investors
✔ Limited supply of beachfront land in Camotes
✔ Ideal for long-term portfolio diversification

Beachfront properties remain among the strongest performing investment categories in Philippine real estate — with demand from both local & foreign buyers.

📩 Inquire Today — Secure This Rare Beachfront Asset

📞 Mobile | Viber: +63 992-524-----
💬 WhatsApp: https://wa.me/63992524----

⚠ Disclaimer

All information, pricing, availability, measurements, and USD conversions are subject to change without prior notice. Details are deemed reliable but not guaranteed. Lot area & frontage are approximate.


white sand beachfront lot for sale Cebu • Camotes Island beach property • beach lot for sale Philippines • beachfront land for sale Cebu • resort development property Visayas • coastal residential property for sale • investment property Camotes Island • oceanfront land Philippines • Cebu tourism property for sale",,,,"Santiago, San Francisco, Cebu, Central Visayas, PHL",San Francisco,Cebu,10.58785743,124.29889453,,56500000
https://www.lamudi.com.ph/property/41032-73-9d876d76017b-75e9-1924dfb-a41d-801f,Condo For Sale in Punta Engaño,"🔖𝐅𝐎𝐑 𝐒𝐀𝐋𝐄
1𝐁𝐄𝐃𝐑𝐎𝐎𝐌 𝐂𝐎𝐍𝐃𝐎 𝐔𝐍𝐈𝐓
𝐢𝐧 𝐓𝐡𝐞 𝐑𝐞𝐬𝐢𝐝𝐞𝐧𝐜𝐞𝐬 𝐚𝐭 𝐒𝐡𝐞𝐫𝐚𝐭𝐨𝐧 𝐂𝐞𝐛𝐮

DESCRIPTION
• Multi-award-winning project (best condo in PH, a.o.)
• Sold-out top floor unit with sunset view
• Below fair market value

PROJECT & UNIT
The one-bedroom unit is 68 sqm and is located on the 17th floor of The Residences at Sheraton Cebu Mactan Resort with sunset views of Magellan Bay and – in the distance – the city lights of Cebu City with on its backdrop the mountains. For all other information related to the project and unit we refer to the table in the image gallery.

MARKET VALUE
The unit got appraised at Php 24,048,524 . This value is excluding furniture.

ASK PRICE
Selling price is  Php 23.9M only. This is below fair market value and also includes some furniture (semi-furnished).

INCLUSIONS:

✅ Parking lot (indoor)
✅ Kitchen
✅ Oven
✅ Induction cooktop
✅ Range hood
✅ Refrigerator
✅ Washer
✅ Dryer
✅ Air conditioning (2x)
✅ Built-in cabinets
✅ Sliding door (3x)
✅ Bathtub

UNIT DETAILS
Unit/Floor Number:17K
Build (Year):2023
Car Spaces:1
Bedroom:1
Bath/s:1

Floor area (m²) 68SQM
Floor:17

Condominium Name:
The Residences at Sheraton Cebu Mactan Resort

CONTACT US:
☎️0919095----
💌Onlinemarket----@gmail.com

#sheratonmactan 
#luxuryrealestate 
#luxurylifestyle 
#RFOCondo 
#RFOcondocebu 
#beachfront 
#1Bedroomcondo 
#mactancebu",1.0,1.0,68.0,"The Residences at Sheraton Cebu Mactan Resort, Punta Engaño Road, Lapu-Lapu, Lalawigan ng Cebu, Pilipinas",Lapu-Lapu,Cebu,10.3232073,124.0351931,"Lift, Panoramic view, Built-in wardrobe, Garage, Fully furnished",23900000
https://www.lamudi.com.ph/property/41032-73-985e84e61ad8-86f0-19ac046-8a66-7058,House For Sale in Poblacion Occidental,"🏡 Newly Built Modern House & Lot for Sale in Consolacion, Cebu!
Flood-Free • Secure Community • Premium Build Quality

Discover elevated living in this brand-new modern home located inside a gated and secured subdivision in Consolacion, Cebu. Designed for families who value space, comfort, and long-term investment potential, this property offers generous interiors, high ceilings, and a functional open layout.

📐 Property Details

Lot Area: 331 sqm (≈ 3,563 sq. ft.)

Floor Area: 354 sqm (≈ 3,810 sq. ft.)

🏠 House Features

✔ 4 Bedrooms
✔ 4 Toilet & Bath (All Ensuite)
✔ Powder Room
✔ Helper’s Room with Toilet & Bath
✔ Laundry Area
✔ Balcony
✔ Landscaped Garden
✔ Spacious 3-Car Carport

🔎 Distinguishing Features

✨ High Ceilings

3.60 meters (First Floor)

3.30 meters (Second Floor)

✨ Semi-Furnished — Move-In Ready
✨ All Rooms with Ensuite Bathrooms
✨ Open Floor Layout
✨ Flood-Free Area
✨ Huge Rooms with Excellent Natural Light
✨ Well-Designed Landscaped Garden

A perfect choice for families upgrading to a bigger home, OFWs looking for a high-quality house, and investors seeking long-term capital appreciation in a fast-growing Cebu suburb.

💰 PRICE: ₱28,000,000

Approx. USD: $485,000

📞 Inquire Today

📱 Mobile | Viber: +63 992-524-----
💬 WhatsApp: https://wa.me/63992524----

Send us a message to schedule a private viewing or request a full investment presentation.

📌 Disclaimer

All property details, pricing, availability, and USD conversions are subject to change without prior notice.",4.0,4.0,354.0,"Poblacion Oriental, Consolacion, Cebu, Central Visayas, PHL",Consolacion,Cebu,10.3747458,123.95406452,"24 hours security, Access for people with disabilities, Air conditioning, Alarm, Balcony, Basketball court, Integral kitchen, Built-in wardrobe, Garage, Cctv, Cellar, Playground, Water tank, Club House, Concierge, Deck, Drying area, Electricity, Ensuite, Entertainment room, Equipped kitchen, Fire alarm, Fire exits, Fire sprinkler system, Fireplace, Fully fenced, Function area, Garden, Gazebo, Green area, Grill, Gym, Heating, Jacuzzi, Internet, Jogging path, Library, Lounge, Multi-purpose lawn, Natural gas, Office room, Open space, Panoramic view, Yard, Powder room, Roof garden, Security, Smoke detector, Sports facilities, Storage room, Guardhouse, Tennis court, Terrace, Service room, Video cable, Water, Wifi, Partly furnished",28000000
https://www.lamudi.com.ph/property/41032-73-a63ff8dedf80-6daa-9c8a7f62-bc01-4913,Condo For Sale in Mactan,"Project Details:

18-Storey Residential Condominium 
Approx. 340 units
T O T A L   L A N D   A R E A
Approx. 1,206 sqm 
U N I T   T Y P E S & T Y P I C A L   F L O O R   A R E A S
Studio Units - approx. 25 sqm
Studio Units with Balcony - approx. 30 sqm

Unit Features:

• Melamine board kitchen cabinets with stainless steel sink and 
granite countertop 
• Melamine board bedroom closets 
• Telephone and CATV provisions
• Electrical provision for air conditioning unit
• Electrical provision for portable water heater in the shower 
area 
• Bathroom fixtures and accessories 
• Exhaust fan installed in toilet and bath 
• Electrical provision for filter-type range hood 
• Non-LPG, purely electrical provision for cooking 
• Fire alarm and smoke detector in each unit 
• Painted cement walls and ceilings
• Tiled main flooring 
• Ceramic floor and wall tiles for the toilet and bath 

Amenities:

Access to Clubhouse with swimming 
pool, fitness gym, and multi-purpose 
court 
• Individual mailboxes 
• Three (3) High-speed elevators 
• Centralized garbage collection area 
with segregated garbage chutes 
• Main lobby and reception area 
• Fire alarm and sprinkler system 
• Basement and ground floor parking 
• Standby generator

Location:

• Mactan Newtown, which has a 
combination of high-end office towers, 
luxury condominiums, schools, 
leisure amenities, retail shops, and hotels 
• Sto. Niño Parish Church in Mactan
• Mactan Export Processing Zone (MEPZ)
• Mactan-Cebu International Airport
• Lapu-Lapu Shrine
• Famous white sand beaches and 
restaurants in Maribago & Punta Engaño


* PRICES change without prior notice.",1.0,1.0,30.0,"Angasil Road, Lapu-Lapu, Lalawigan ng Cebu, Pilipinas",Lapu-Lapu,Cebu,10.305224,124.0148829,"Air conditioning, Balcony, Built-in wardrobe, Garage, Electricity, Integral kitchen, Internet, Office room, Panoramic view, Water, Gym, Lift, Security, Swimming pool, Unfurnished",3562600
